symbol,direction,entry_time,exit_time,entry_price,exit_price,sl,tp1,tp2,exit_reason,pnl_pct,rr_achieved,duration_bars,duration_hours,position_size,pnl_try,portfolio_after
ASELS,BUY,2025-06-30T12:00:00+00:00,2025-07-08T12:00:00+00:00,150.2,152.6,145.4653,158.0911,162.8257,EXPIRED,1.5979,0.5069,18,72,220.8229,529.97,105082.97
ASELS,BUY,2025-07-09T12:00:00+00:00,2025-07-16T08:00:00+00:00,149.9,159.2135,146.4074,155.7209,159.2135,TP2,6.2131,2.6667,11,44,300.8732,2802.18,107885.15
ASELS,BUY,2025-08-04T12:00:00+00:00,2025-08-06T04:00:00+00:00,188.3,183.6985,183.6985,195.9691,200.5706,SL,-2.4437,-1.0,4,16,234.4565,-1078.85,106806.3
AKBNK,BUY,2025-08-07T08:00:00+00:00,2025-08-14T12:00:00+00:00,68.65,67.1773,67.1773,71.1045,72.5771,SL,-2.1452,-1.0,16,64,725.2414,-1068.06,105738.24
ASELS,BUY,2025-08-20T12:00:00+00:00,2025-08-28T12:00:00+00:00,182.0,183.7,177.6092,189.3181,193.7089,EXPIRED,0.9341,0.3872,18,72,240.8177,409.39,106147.63
AKBNK,BUY,2025-08-21T12:00:00+00:00,2025-08-29T12:00:00+00:00,68.2,68.2,66.9993,70.2011,71.4017,TP1_BE,0.0,0.0,18,72,884.0479,0.0,106147.63
ASELS,BUY,2025-09-15T04:00:00+00:00,2025-09-16T08:00:00+00:00,179.2,193.1161,173.9815,187.8975,193.1161,TP2,7.7657,2.6667,4,16,203.4064,2830.62,108978.25
AKBNK,BUY,2025-09-12T04:00:00+00:00,2025-09-17T12:00:00+00:00,61.25,67.1623,59.0329,64.9452,67.1623,TP2,9.6527,2.6667,11,44,491.5351,2906.1,111884.36
AKBNK,BUY,2025-09-22T08:00:00+00:00,2025-09-23T12:00:00+00:00,68.1,65.9801,65.9801,71.6332,73.7531,SL,-3.113,-1.0,4,16,527.7813,-1118.84,110765.51
ASELS,BUY,2025-09-29T08:00:00+00:00,2025-10-01T04:00:00+00:00,219.2,212.0569,212.0569,231.1052,238.2483,SL,-3.2587,-1.0,5,20,155.0664,-1107.66,109657.86
ASELS,BUY,2025-10-01T08:00:00+00:00,2025-10-07T12:00:00+00:00,215.7,207.7573,207.7573,228.9378,236.8806,SL,-3.6823,-1.0,13,52,138.0612,-1096.58,108561.28
