symbol,direction,entry_time,exit_time,entry_price,exit_price,sl,tp1,tp2,exit_reason,pnl_pct,rr_achieved,duration_bars,duration_hours,tp2_mult
AKBNK,BUY,2025-07-04T08:00:00+00:00,2025-07-08T08:00:00+00:00,69.05,66.9173,66.9173,72.6044,74.7371,SL,-3.0886,-1.0,6,24,4.0
AKBNK,BUY,2025-08-07T08:00:00+00:00,2025-08-14T12:00:00+00:00,68.65,67.1773,67.1773,71.1045,72.5771,SL,-2.1452,-1.0,16,64,4.0
AKBNK,BUY,2025-08-21T12:00:00+00:00,2025-08-29T12:00:00+00:00,68.2,68.2,66.9993,70.2011,71.4017,TP1_BE,0.0,0.0,18,72,4.0
AKBNK,BUY,2025-09-12T04:00:00+00:00,2025-09-17T12:00:00+00:00,61.25,67.1623,59.0329,64.9452,67.1623,TP2,9.6527,2.6667,11,44,4.0
AKBNK,BUY,2025-09-22T08:00:00+00:00,2025-09-23T12:00:00+00:00,68.1,65.9801,65.9801,71.6332,73.7531,SL,-3.113,-1.0,4,16,4.0
AKBNK,SELL,2025-10-06T08:00:00+00:00,2025-10-14T08:00:00+00:00,59.45,54.7831,61.2001,56.5332,54.7831,TP2,7.8501,2.6667,18,72,4.0
AKBNK,SELL,2025-10-17T04:00:00+00:00,2025-10-20T04:00:00+00:00,53.7,55.4989,55.4989,50.7018,48.9028,SL,-3.35,-1.0,3,12,4.0
AKBNK,BUY,2025-11-04T04:00:00+00:00,2025-11-07T08:00:00+00:00,61.85,59.9514,59.9514,65.0143,66.913,SL,-3.0697,-1.0,10,40,4.0
AKBNK,BUY,2025-11-07T08:00:00+00:00,2025-11-11T08:00:00+00:00,61.1,59.3572,59.3572,64.0047,65.7476,SL,-2.8524,-1.0,6,24,4.0
AKBNK,SELL,2025-11-11T08:00:00+00:00,2025-11-19T04:00:00+00:00,58.1,59.933,59.933,55.045,53.212,SL,-3.1549,-1.0,17,68,4.0
AKBNK,BUY,2025-11-19T08:00:00+00:00,2025-11-27T08:00:00+00:00,61.2,64.25,59.5548,63.942,65.5872,EXPIRED,4.9837,1.8539,18,72,4.0
AKBNK,BUY,2025-11-27T08:00:00+00:00,2025-12-04T12:00:00+00:00,64.25,64.25,62.783,66.695,68.162,TP1_BE,0.0,0.0,16,64,4.0
AKBNK,BUY,2025-12-08T08:00:00+00:00,2025-12-16T08:00:00+00:00,69.05,70.65,67.2364,72.0726,73.8862,EXPIRED,2.3172,0.8822,18,72,4.0
AKBNK,BUY,2025-12-17T04:00:00+00:00,2025-12-24T08:00:00+00:00,70.75,70.75,69.2353,73.2745,74.7892,TP1_BE,0.0,0.0,16,64,4.0
AKBNK,BUY,2026-01-05T04:00:00+00:00,2026-01-08T08:00:00+00:00,73.65,71.9773,71.9773,76.4378,78.1105,SL,-2.2711,-1.0,10,40,4.0
AKBNK,BUY,2026-01-12T04:00:00+00:00,2026-01-12T12:00:00+00:00,74.95,73.2386,73.2386,77.8023,79.5137,SL,-2.2834,-1.0,2,8,4.0
AKBNK,BUY,2026-01-16T08:00:00+00:00,2026-01-21T12:00:00+00:00,74.85,79.5949,73.0707,77.8156,79.5949,TP2,6.3392,2.6667,10,40,4.0
AKBNK,BUY,2026-01-27T04:00:00+00:00,2026-01-28T12:00:00+00:00,80.05,85.3694,78.0552,83.3746,85.3694,TP2,6.6451,2.6667,5,20,4.0
AKBNK,BUY,2026-02-02T08:00:00+00:00,2026-02-03T04:00:00+00:00,92.8,89.5705,89.5705,98.1826,101.4121,SL,-3.4801,-1.0,2,8,4.0
AKBNK,BUY,2026-02-03T04:00:00+00:00,2026-02-04T08:00:00+00:00,89.8,86.2722,86.2722,95.6796,99.2074,SL,-3.9285,-1.0,4,16,4.0
AKBNK,SELL,2026-02-10T04:00:00+00:00,2026-02-12T08:00:00+00:00,84.95,87.5781,87.5781,80.5698,77.9417,SL,-3.0937,-1.0,7,28,4.0
AKBNK,BUY,2026-02-12T08:00:00+00:00,2026-02-20T04:00:00+00:00,89.05,86.3834,86.3834,93.4944,96.161,SL,-2.9945,-1.0,17,68,4.0
AKBNK,BUY,2026-02-23T12:00:00+00:00,2026-03-02T04:00:00+00:00,90.4,87.8021,87.8021,94.7298,97.3277,SL,-2.8738,-1.0,13,52,4.0
AKBNK,SELL,2026-03-02T08:00:00+00:00,2026-03-06T12:00:00+00:00,85.0,76.2118,88.2956,79.5074,76.2118,TP2,10.339,2.6667,13,52,4.0
AKBNK,SELL,2026-03-24T08:00:00+00:00,2026-04-01T08:00:00+00:00,70.85,67.9,74.116,65.4067,62.1407,EXPIRED,4.1637,0.9032,18,72,4.0
AKBNK,BUY,2026-04-07T12:00:00+00:00,2026-04-08T08:00:00+00:00,69.1,74.6205,67.0298,72.5503,74.6205,TP2,7.9892,2.6667,2,8,4.0
